neg,neu,pos,compound,date
0.137,0.737,0.126,-0.9723,2020-03-07T17:13:28+0000
0.193,0.633,0.174,-0.9594,2020-03-07T19:30:04+0000
0.131,0.758,0.111,-0.9726,2020-03-07T19:42:49+0000
0.098,0.744,0.159,0.9868,2020-03-07T23:20:30+0000
0.095,0.776,0.129,0.9486,2020-03-08T00:15:35+0000
0.087,0.79,0.123,0.9758,2020-03-08T01:20:12+0000
0.123,0.766,0.111,-0.8119,2020-03-08T10:00:07+0000
0.09,0.766,0.144,0.9973,2020-03-08T14:55:01+0000
0.058,0.835,0.106,0.996,2020-03-08T15:19:10+0000
0.129,0.77,0.101,-0.9805,2020-03-08T19:38:16+0000
0.134,0.694,0.172,0.9804,2020-03-08T23:06:20+0000
0.075,0.81,0.116,0.9944,2020-03-08T23:55:18+0000
0.092,0.831,0.077,-0.7964,2020-03-09T00:23:53+0000
0.125,0.771,0.105,-0.7579,2020-03-09T00:50:37+0000
0.039,0.869,0.092,0.9945,2020-03-09T03:50:37+0000
0.102,0.783,0.115,0.8911,2020-03-09T04:48:45+0000
0.154,0.771,0.075,-0.9962,2020-03-09T05:43:14+0000
0.071,0.792,0.137,0.999,2020-03-09T09:00:25+0000
0.105,0.788,0.106,0.6326,2020-03-09T09:00:25+0000
0.053,0.852,0.095,0.9809,2020-03-09T09:09:02+0000
0.15,0.737,0.113,-0.9838,2020-03-09T10:37:48+0000
0.1,0.789,0.111,0.8271,2020-03-09T13:01:20+0000
0.102,0.825,0.073,-0.9955,2020-03-09T14:31:55+0000
0.122,0.808,0.07,-0.9947,2020-03-09T15:23:52+0000
0.192,0.707,0.101,-0.9986,2020-03-09T15:59:44+0000
0.032,0.848,0.12,0.9946,2020-03-09T16:02:46+0000
0.151,0.704,0.145,-0.9004,2020-03-09T16:08:22+0000
0.094,0.779,0.127,0.9677,2020-03-09T17:13:14+0000
0.21,0.679,0.111,-0.9987,2020-03-09T17:36:31+0000
0.143,0.724,0.133,-0.785,2020-03-09T17:49:42+0000
0.116,0.635,0.249,0.9955,2020-03-09T20:19:36+0000
0.182,0.704,0.114,-0.987,2020-03-09T21:12:52+0000
